  0.000000   0.077857
  0.100000   0.088436
  0.200000   0.099016
  0.300000   0.112455
  0.400000   0.127988
  0.500000   0.146787
  0.600000   0.169244
  0.700000   0.196317
  0.800000   0.228826
  0.900000   0.267673
  1.000000   0.313406
  1.100000   0.365755
  1.200000   0.422596
  1.300000   0.478428
  1.400000   0.522708
  1.500000   0.540671
  1.600000   0.538324
  1.700000   0.533621
  1.800000   0.524979
  1.900000   0.514182
  2.000000   0.500604
  2.100000   0.485552
  2.200000   0.468856
  2.300000   0.451427
  2.400000   0.433270
  2.500000   0.414985
  2.600000   0.396609
  2.700000   0.378550
  2.800000   0.360741
  2.900000   0.343691
  3.000000   0.326641
